image_id,filename,image_path,label,class_name
1530,1530.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1530.jpg,8,chinese_cinnamon
1607,1607.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1607.jpg,2,anhui_barberry
1411,1411.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1411.jpg,7,castor_aralia
1506,1506.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1506.jpg,8,chinese_cinnamon
1018,1018.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1018.jpg,0,pubescent_bamboo
1252,1252.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1252.jpg,4,true_indigo
1553,1553.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1553.jpg,2,anhui_barberry
1378,1378.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1378.jpg,6,nanmu
1216,1216.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1216.jpg,4,true_indigo
1299,1299.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1299.jpg,5,japanese_maple
1265,1265.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1265.jpg,4,true_indigo
1544,1544.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1544.jpg,8,chinese_cinnamon
1028,1028.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1028.jpg,0,pubescent_bamboo
1269,1269.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1269.jpg,5,japanese_maple
1587,1587.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1587.jpg,2,anhui_barberry
1057,1057.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1057.jpg,0,pubescent_bamboo
1087,1087.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1087.jpg,1,chinese_horse_chestnut
1183,1183.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1183.jpg,3,chinese_redbud
1245,1245.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1245.jpg,4,true_indigo
1493,1493.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1493.jpg,9,goldenrain_tree
1258,1258.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1258.jpg,4,true_indigo
1312,1312.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1312.jpg,5,japanese_maple
1287,1287.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1287.jpg,5,japanese_maple
1112,1112.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1112.jpg,1,chinese_horse_chestnut
1505,1505.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1505.jpg,8,chinese_cinnamon
1471,1471.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1471.jpg,9,goldenrain_tree
1466,1466.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1466.jpg,9,goldenrain_tree
1603,1603.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1603.jpg,2,anhui_barberry
1278,1278.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1278.jpg,5,japanese_maple
1126,1126.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1126.jpg,3,chinese_redbud
1218,1218.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1218.jpg,4,true_indigo
1480,1480.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1480.jpg,9,goldenrain_tree
1423,1423.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1423.jpg,7,castor_aralia
1311,1311.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1311.jpg,5,japanese_maple
1006,1006.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1006.jpg,0,pubescent_bamboo
1609,1609.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1609.jpg,2,anhui_barberry
1372,1372.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1372.jpg,6,nanmu
1291,1291.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1291.jpg,5,japanese_maple
1381,1381.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1381.jpg,6,nanmu
1097,1097.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1097.jpg,1,chinese_horse_chestnut
1611,1611.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1611.jpg,2,anhui_barberry
1133,1133.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1133.jpg,3,chinese_redbud
1228,1228.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1228.jpg,4,true_indigo
1600,1600.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1600.jpg,2,anhui_barberry
1211,1211.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1211.jpg,4,true_indigo
1050,1050.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1050.jpg,0,pubescent_bamboo
1041,1041.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1041.jpg,0,pubescent_bamboo
1392,1392.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1392.jpg,7,castor_aralia
1198,1198.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1198.jpg,4,true_indigo
1527,1527.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1527.jpg,8,chinese_cinnamon
1440,1440.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1440.jpg,9,goldenrain_tree
1158,1158.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1158.jpg,3,chinese_redbud
1182,1182.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1182.jpg,3,chinese_redbud
1115,1115.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1115.jpg,1,chinese_horse_chestnut
1612,1612.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1612.jpg,2,anhui_barberry
1408,1408.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1408.jpg,7,castor_aralia
1522,1522.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1522.jpg,8,chinese_cinnamon
1539,1539.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1539.jpg,8,chinese_cinnamon
1306,1306.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1306.jpg,5,japanese_maple
1315,1315.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1315.jpg,5,japanese_maple
1321,1321.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1321.jpg,5,japanese_maple
1123,1123.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1123.jpg,3,chinese_redbud
1204,1204.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1204.jpg,4,true_indigo
1259,1259.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1259.jpg,4,true_indigo
1179,1179.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1179.jpg,3,chinese_redbud
1405,1405.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1405.jpg,7,castor_aralia
1387,1387.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1387.jpg,7,castor_aralia
1582,1582.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1582.jpg,2,anhui_barberry
1594,1594.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1594.jpg,2,anhui_barberry
1096,1096.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1096.jpg,1,chinese_horse_chestnut
1350,1350.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1350.jpg,6,nanmu
1232,1232.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1232.jpg,4,true_indigo
1479,1479.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1479.jpg,9,goldenrain_tree
1613,1613.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1613.jpg,2,anhui_barberry
1285,1285.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1285.jpg,5,japanese_maple
1293,1293.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1293.jpg,5,japanese_maple
1250,1250.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1250.jpg,4,true_indigo
1168,1168.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1168.jpg,3,chinese_redbud
1610,1610.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1610.jpg,2,anhui_barberry
1034,1034.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1034.jpg,0,pubescent_bamboo
1132,1132.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1132.jpg,3,chinese_redbud
1459,1459.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1459.jpg,9,goldenrain_tree
1070,1070.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1070.jpg,1,chinese_horse_chestnut
1056,1056.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1056.jpg,0,pubescent_bamboo
1320,1320.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1320.jpg,5,japanese_maple
1060,1060.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1060.jpg,1,chinese_horse_chestnut
1429,1429.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1429.jpg,7,castor_aralia
1014,1014.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1014.jpg,0,pubescent_bamboo
1554,1554.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1554.jpg,2,anhui_barberry
1298,1298.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1298.jpg,5,japanese_maple
1389,1389.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1389.jpg,7,castor_aralia
1161,1161.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1161.jpg,3,chinese_redbud
1263,1263.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1263.jpg,4,true_indigo
1042,1042.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1042.jpg,0,pubescent_bamboo
1322,1322.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1322.jpg,5,japanese_maple
1142,1142.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1142.jpg,3,chinese_redbud
1519,1519.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1519.jpg,8,chinese_cinnamon
1118,1118.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1118.jpg,1,chinese_horse_chestnut
1313,1313.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1313.jpg,5,japanese_maple
1089,1089.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1089.jpg,1,chinese_horse_chestnut
1178,1178.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1178.jpg,3,chinese_redbud
1483,1483.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1483.jpg,9,goldenrain_tree
1266,1266.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1266.jpg,4,true_indigo
1561,1561.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1561.jpg,2,anhui_barberry
1418,1418.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1418.jpg,7,castor_aralia
1107,1107.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1107.jpg,1,chinese_horse_chestnut
1379,1379.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1379.jpg,6,nanmu
1044,1044.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1044.jpg,0,pubescent_bamboo
1248,1248.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1248.jpg,4,true_indigo
1362,1362.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1362.jpg,6,nanmu
1565,1565.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1565.jpg,2,anhui_barberry
1568,1568.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1568.jpg,2,anhui_barberry
1583,1583.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1583.jpg,2,anhui_barberry
1135,1135.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1135.jpg,3,chinese_redbud
1130,1130.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1130.jpg,3,chinese_redbud
1283,1283.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1283.jpg,5,japanese_maple
1385,1385.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1385.jpg,6,nanmu
1084,1084.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1084.jpg,1,chinese_horse_chestnut
1355,1355.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1355.jpg,6,nanmu
1104,1104.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1104.jpg,1,chinese_horse_chestnut
1577,1577.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1577.jpg,2,anhui_barberry
1197,1197.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1197.jpg,4,true_indigo
1037,1037.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1037.jpg,0,pubescent_bamboo
1375,1375.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1375.jpg,6,nanmu
1230,1230.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1230.jpg,4,true_indigo
1549,1549.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1549.jpg,8,chinese_cinnamon
1219,1219.jpg,D:\CV_leaf_identification\leaf_hog_lbp_svm\data\raw\Flavia\1219.jpg,4,true_indigo
